station_id,name,capacity,lat,lon,no_classic_count,no_docks_count,problem_count,total_count,pct_no_classic,pct_no_docks,pct_problem,bin_no_classic,bin_no_docks,bin_problem
a3b36d8a-a135-11e9-9cda-0a87ae2ba916,Michigan Ave & 8th St,43,41.872773,-87.623981,0,0,0,10,0.0,0.0,0.0,0% to 9%,0% to 9%,0% to 9%
a3b372b1-a135-11e9-9cda-0a87ae2ba916,Dearborn St & Van Buren St,15,41.876268,-87.629155,0,0,0,10,0.0,0.0,0.0,0% to 9%,0% to 9%,0% to 9%
a3b377cb-a135-11e9-9cda-0a87ae2ba916,Dodge Ave & Main St,15,42.03463185161588,-87.69918769598006,0,0,0,10,0.0,0.0,0.0,0% to 9%,0% to 9%,0% to 9%
a3b37ce0-a135-11e9-9cda-0a87ae2ba916,Delano Ct & Roosevelt Rd,19,41.867491,-87.63219,0,0,0,10,0.0,0.0,0.0,0% to 9%,0% to 9%,0% to 9%
a3b3820c-a135-11e9-9cda-0a87ae2ba916,LaSalle Dr & Huron St,19,41.894877,-87.632326,0,0,0,10,0.0,0.0,0.0,0% to 9%,0% to 9%,0% to 9%
a3b38728-a135-11e9-9cda-0a87ae2ba916,Walsh Park,23,41.91461,-87.667968,0,1,1,10,0.0,10.0,10.0,0% to 9%,10% to 24%,10% to 24%
a3b38c3f-a135-11e9-9cda-0a87ae2ba916,Kildare Ave & Montrose Ave,15,41.96108,-87.73569,0,0,0,10,0.0,0.0,0.0,0% to 9%,0% to 9%,0% to 9%
a3b3915a-a135-11e9-9cda-0a87ae2ba916,Malcolm X College,19,41.877618,-87.673895,0,0,0,10,0.0,0.0,0.0,0% to 9%,0% to 9%,0% to 9%
a3b3968b-a135-11e9-9cda-0a87ae2ba916,Clark St & Newport St,15,41.94454,-87.654678,1,0,1,10,10.0,0.0,10.0,10% to 24%,0% to 9%,10% to 24%
a3b39bb0-a135-11e9-9cda-0a87ae2ba916,Fairbanks St & Superior St,11,41.895748,-87.620104,7,0,7,10,70.0,0.0,70.0,25% to 74%,0% to 9%,25% to 74%
a3b3a0c8-a135-11e9-9cda-0a87ae2ba916,Orleans St & Hubbard St,11,41.890028,-87.636618,8,0,8,10,80.0,0.0,80.0,75% to 89%,0% to 9%,75% to 89%
a3b419d9-a135-11e9-9cda-0a87ae2ba916,Wood St & Chicago Ave,15,41.895634,-87.672069,0,7,7,10,0.0,70.0,70.0,0% to 9%,25% to 74%,25% to 74%
a3b41f78-a135-11e9-9cda-0a87ae2ba916,Clinton St & Jackson Blvd,31,41.87831661183069,-87.64098107814789,2,0,2,10,20.0,0.0,20.0,10% to 24%,0% to 9%,10% to 24%
a3b424f6-a135-11e9-9cda-0a87ae2ba916,Lakefront Trail & Wilson Ave,15,41.965845,-87.645361,0,0,0,10,0.0,0.0,0.0,0% to 9%,0% to 9%,0% to 9%
a3b42a3e-a135-11e9-9cda-0a87ae2ba916,Bernard St & Elston Ave,11,41.949923,-87.713949,0,0,0,10,0.0,0.0,0.0,0% to 9%,0% to 9%,0% to 9%
