station_id,is_installed,is_returning,num_docks_available,is_renting,num_ebikes_available,num_docks_disabled,num_bikes_disabled,num_bikes_available,num_scooters_available,num_scooters_unavailable,timestamp,n_classic,n_electric,n_scooters
a3a9c5f7-a135-11e9-9cda-0a87ae2ba916,1,1,1,1,3,0,0,6,0.0,0.0,06/29/2024 12:09 AM,3,3,0
a3b24701-a135-11e9-9cda-0a87ae2ba916,1,1,3,1,3,0,1,7,0.0,0.0,06/29/2024 12:09 AM,4,3,0
a3b47cbc-a135-11e9-9cda-0a87ae2ba916,1,1,4,1,3,0,0,3,8.0,0.0,06/29/2024 12:09 AM,0,3,8
732c9f35-0c82-4128-acc3-2cf447298b1d,1,1,4,1,2,0,1,10,0.0,0.0,06/29/2024 12:09 AM,8,2,0
1869054242749504212,1,1,8,1,3,0,0,7,0.0,0.0,06/29/2024 12:09 AM,4,3,0
1961472602929588766,1,1,15,1,0,0,0,0,,,06/29/2024 12:09 AM,0,0,0
a3b22d3d-a135-11e9-9cda-0a87ae2ba916,1,1,5,1,1,0,0,6,0.0,0.0,06/29/2024 12:09 AM,5,1,0
a3a5f5e6-a135-11e9-9cda-0a87ae2ba916,1,1,6,1,1,0,0,5,0.0,0.0,06/29/2024 12:09 AM,4,1,0
1942117929887056608,1,1,1,1,11,0,1,13,0.0,0.0,06/29/2024 12:09 AM,2,11,0
a3ae87fa-a135-11e9-9cda-0a87ae2ba916,1,1,7,1,3,0,0,13,3.0,0.0,06/29/2024 12:09 AM,10,3,0
1936582560225114270,1,1,12,1,0,0,0,3,0.0,0.0,06/29/2024 12:07 AM,3,0,0
a3a8999a-a135-11e9-9cda-0a87ae2ba916,1,1,18,1,4,0,7,5,0.0,0.0,06/29/2024 12:08 AM,1,4,0
