vehicle_docks_available,num_bikes_disabled,num_scooters_available,num_docks_available,num_docks_disabled,is_installed,is_renting,last_reported,num_bikes_available,num_scooters_unavailable,vehicle_types_available,num_ebikes_available,station_id,is_returning
"[{'vehicle_type_ids': ['1', '2'], 'count': 6}]",1,0.0,6,0,1,1,1700170613,4,0.0,"[{'count': 4, 'vehicle_type_id': '1'}, {'count': 0, 'vehicle_type_id': '2'}]",0,a3acea44-a135-11e9-9cda-0a87ae2ba916,1
"[{'vehicle_type_ids': ['1', '2'], 'count': 2}]",0,0.0,2,0,1,1,1700170614,13,0.0,"[{'count': 9, 'vehicle_type_id': '1'}, {'count': 4, 'vehicle_type_id': '2'}]",4,a3afd7ab-a135-11e9-9cda-0a87ae2ba916,1
"[{'vehicle_type_ids': ['1', '2'], 'count': 7}]",1,0.0,7,0,1,1,1700170613,7,0.0,"[{'count': 5, 'vehicle_type_id': '1'}, {'count': 2, 'vehicle_type_id': '2'}]",2,f0f9f5dc-3d3f-4a32-aa3e-b87566e44de9,1
"[{'vehicle_type_ids': ['1', '2'], 'count': 9}]",0,0.0,9,0,1,1,1700170618,2,0.0,"[{'count': 2, 'vehicle_type_id': '1'}, {'count': 0, 'vehicle_type_id': '2'}]",0,a3b2905a-a135-11e9-9cda-0a87ae2ba916,1
"[{'vehicle_type_ids': ['1', '2'], 'count': 3}]",0,0.0,3,0,1,1,1700170620,8,0.0,"[{'count': 7, 'vehicle_type_id': '1'}, {'count': 1, 'vehicle_type_id': '2'}]",1,da9e6779-5056-4d45-bae3-9dc325ed2807,1
"[{'vehicle_type_ids': ['1', '2', '3'], 'count': 7}]",0,2.0,7,0,1,1,1700170620,10,0.0,"[{'count': 10, 'vehicle_type_id': '1'}, {'count': 0, 'vehicle_type_id': '2'}, {'count': 2, 'vehicle_type_id': '3'}]",0,a3b3915a-a135-11e9-9cda-0a87ae2ba916,1
"[{'vehicle_type_ids': ['1', '2', '3'], 'count': 12}]",2,1.0,12,0,1,1,1700170620,4,0.0,"[{'count': 2, 'vehicle_type_id': '1'}, {'count': 2, 'vehicle_type_id': '2'}, {'count': 1, 'vehicle_type_id': '3'}]",2,a3a80512-a135-11e9-9cda-0a87ae2ba916,1
"[{'vehicle_type_ids': ['1', '2'], 'count': 0}]",0,0.0,0,0,1,1,1700170619,7,0.0,"[{'count': 6, 'vehicle_type_id': '1'}, {'count': 1, 'vehicle_type_id': '2'}]",1,a3a9c5f7-a135-11e9-9cda-0a87ae2ba916,1
"[{'vehicle_type_ids': ['1', '2'], 'count': 6}]",0,0.0,6,0,1,1,1700170616,5,0.0,"[{'count': 4, 'vehicle_type_id': '1'}, {'count': 1, 'vehicle_type_id': '2'}]",1,a3acdae2-a135-11e9-9cda-0a87ae2ba916,1
"[{'vehicle_type_ids': ['1', '2', '3'], 'count': 3}]",1,0.0,3,0,1,1,1700170616,10,1.0,"[{'count': 8, 'vehicle_type_id': '1'}, {'count': 2, 'vehicle_type_id': '2'}, {'count': 0, 'vehicle_type_id': '3'}]",2,a3a7f0ba-a135-11e9-9cda-0a87ae2ba916,1
