Capacity,Station Type,Lon,Lat,Short Name,Name
19,classic,-87.69805111,41.95216219,15628,California Ave & Byron St
15,classic,-87.70630374,41.88460329,KA1504000106,Kedzie Ave & Lake St
15,classic,-87.673567,41.957921,TA1309000018,Ravenswood Ave & Berteau Ave
23,classic,-87.62568861,41.87947235,KA1503000015,Wabash Ave & Adams St
19,classic,-87.63443007,41.89993001,TA1306000011,Wells St & Walton St
19,classic,-87.64414,41.921822,13193,Larrabee St & Webster Ave
15,classic,-87.72377736,41.93058537,15643,Kosciuszko Park
11,classic,-87.70260751,41.89046879,KA1504000113,Sacramento Blvd & Franklin Blvd
15,classic,-87.651073,41.858086,13163,Morgan St & 18th St
11,classic,-87.677855,41.920082,13288,Damen Ave & Charleston St
11,classic,-87.666215,41.786833,560,Marshfield Ave & 59th St
11,classic,-87.60785218,41.79156801,KA1503000075,DuSable Museum
15,classic,-87.58831517,41.78794281,KA1503000070,Harper Ave & 59th St
15,classic,-87.64599144,41.85750568,13099,Halsted St & 18th St
19,classic,-87.673308,41.946176,TA1309000050,Lincoln Ave & Addison St
11,classic,-87.64561655,41.80813391,KA1503000051,Halsted St & 47th Pl
15,classic,-87.58574367,41.73139494,20236,Stony Island Ave & 90th St
15,classic,-87.59729862,41.72826427,20235,Greenwood Ave & 91st St
19,classic,-87.60879919,41.83127424,KA1503000004,Lake Park Ave & 35th St
15,classic,-87.70512646,41.91402671,15655,Albany Ave & Bloomingdale Ave
11,classic,-87.669563,42.019537,16806,Bosworth Ave & Howard St
11,classic,-87.69642256,41.98366471,15585,Budlong Woods Library
51,classic,-87.639366,41.877245,13138,Canal St & Jackson Blvd
19,classic,-87.586924,41.802406,KA1503000007,Cornell Ave & Hyde Park Blvd
11,classic,-87.668835,41.956057,13249,Ashland Ave & Belle Plaine Ave
15,classic,-87.66355991,41.85491458,13307,Laflin St & Cullerton St
19,classic,-87.62954377,41.87207763,SL-008,Federal St & Polk St
11,classic,-87.640591,41.849527,TA1308000014,Normal Ave & Archer Ave
27,classic,-87.6355,41.885837,TA1307000111,Franklin St & Lake St
11,classic,-87.715068,41.8481,15687,Central Park Ave & 24th St
15,classic,-87.658971,41.928887,TA1309000059,Racine Ave & Wrightwood Ave
15,classic,-87.730409,41.967947,23107,Karlov Ave & Lawrence Ave
15,classic,-87.758544,41.927766,21312,Lockwood Ave & Wrightwood Ave
15,classic,-87.697153,41.922695,13084,California Ave & Milwaukee Ave
19,classic,-87.65966,41.973815,13108,Broadway & Argyle St
39,classic,-87.607267,41.866095,13431,Adler Planetarium
11,classic,-87.765469,41.887664,16905,Central Ave & Lake St
