num_bikes_disabled,is_renting,is_installed,num_scooters_unavailable,num_ebikes_available,station_id,num_docks_available,num_bikes_available,is_returning,num_scooters_available,num_docks_disabled,timestamp,n_classic,n_electric,n_scooters
2,1,1,0.0,0,a3a528d0-a135-11e9-9cda-0a87ae2ba916,7,2,1,0.0,0,01/11/2024 10:11 AM,2,0,0
0,1,1,0.0,4,a3b477ac-a135-11e9-9cda-0a87ae2ba916,10,5,1,0.0,0,01/11/2024 10:11 AM,1,4,0
0,1,1,0.0,3,a3a3b202-a135-11e9-9cda-0a87ae2ba916,6,9,1,0.0,0,01/11/2024 10:11 AM,6,3,0
1,1,1,0.0,2,a3b24701-a135-11e9-9cda-0a87ae2ba916,7,3,1,0.0,0,01/11/2024 10:11 AM,1,2,0
1,1,1,0.0,1,a3a72012-a135-11e9-9cda-0a87ae2ba916,0,10,1,0.0,0,01/11/2024 10:11 AM,9,1,0
1,1,1,0.0,0,a3a859c4-a135-11e9-9cda-0a87ae2ba916,18,1,1,0.0,0,01/11/2024 10:11 AM,1,0,0
0,1,1,0.0,1,a3b2905a-a135-11e9-9cda-0a87ae2ba916,5,6,1,0.0,0,01/11/2024 10:11 AM,5,1,0
1,1,1,0.0,5,a3ad95a7-a135-11e9-9cda-0a87ae2ba916,3,11,1,0.0,0,01/11/2024 10:11 AM,6,5,0
1,1,1,0.0,4,a3b3915a-a135-11e9-9cda-0a87ae2ba916,6,12,1,0.0,0,01/11/2024 10:11 AM,8,4,0
1,1,1,0.0,1,1882466626513795782,2,12,1,0.0,0,01/11/2024 10:11 AM,11,1,0
2,1,1,0.0,1,a3ad7636-a135-11e9-9cda-0a87ae2ba916,5,4,1,0.0,0,01/11/2024 10:11 AM,3,1,0
0,1,1,0.0,1,a3a497b6-a135-11e9-9cda-0a87ae2ba916,15,4,1,0.0,0,01/11/2024 10:11 AM,3,1,0
0,1,1,0.0,0,a3b20960-a135-11e9-9cda-0a87ae2ba916,0,7,1,0.0,0,01/11/2024 10:11 AM,7,0,0
3,1,1,0.0,3,a3ac9d43-a135-11e9-9cda-0a87ae2ba916,7,13,1,0.0,0,01/11/2024 10:11 AM,10,3,0
2,1,1,0.0,1,a3af52bc-a135-11e9-9cda-0a87ae2ba916,14,7,1,0.0,0,01/11/2024 10:11 AM,6,1,0
1,1,1,0.0,0,a3a547b8-a135-11e9-9cda-0a87ae2ba916,6,8,1,0.0,0,01/11/2024 10:11 AM,8,0,0
1,1,1,0.0,0,a3a97a01-a135-11e9-9cda-0a87ae2ba916,6,8,1,0.0,0,01/11/2024 10:11 AM,8,0,0
0,1,1,0.0,0,a3a8999a-a135-11e9-9cda-0a87ae2ba916,9,22,1,0.0,0,01/11/2024 10:11 AM,22,0,0
0,1,1,1.0,0,a3a52df5-a135-11e9-9cda-0a87ae2ba916,19,3,1,0.0,0,01/11/2024 10:11 AM,3,0,0
1,1,1,0.0,3,a3aabad8-a135-11e9-9cda-0a87ae2ba916,4,14,1,0.0,0,01/11/2024 10:11 AM,11,3,0
0,1,1,0.0,3,a3afd294-a135-11e9-9cda-0a87ae2ba916,9,6,1,0.0,0,01/11/2024 10:11 AM,3,3,0
0,1,1,0.0,0,a3acdae2-a135-11e9-9cda-0a87ae2ba916,5,6,1,0.0,0,01/11/2024 10:11 AM,6,0,0
0,1,1,0.0,1,a3b2d7d9-a135-11e9-9cda-0a87ae2ba916,7,4,1,0.0,0,01/11/2024 10:11 AM,3,1,0
6,1,1,0.0,0,a3a75d8a-a135-11e9-9cda-0a87ae2ba916,3,10,1,1.0,0,01/11/2024 10:11 AM,10,0,1
0,1,1,,0,1866477298337982542,4,0,1,,0,01/11/2024 10:02 AM,0,0,0
0,1,1,0.0,0,1866476559603607834,1,3,1,0.0,0,01/11/2024 10:06 AM,3,0,0
1,1,1,0.0,0,a3b38728-a135-11e9-9cda-0a87ae2ba916,8,14,1,0.0,0,01/11/2024 10:09 AM,14,0,0
1,1,1,0.0,0,a3b453f2-a135-11e9-9cda-0a87ae2ba916,3,3,1,0.0,0,01/11/2024 10:09 AM,3,0,0
1,1,1,0.0,6,a3a46896-a135-11e9-9cda-0a87ae2ba916,13,26,1,3.0,0,01/11/2024 10:09 AM,20,6,3
1,1,1,0.0,0,1871991855517771832,5,8,1,0.0,0,01/11/2024 10:09 AM,8,0,0
0,1,1,0.0,2,a3aca268-a135-11e9-9cda-0a87ae2ba916,7,4,1,0.0,0,01/11/2024 10:09 AM,2,2,0
0,1,1,0.0,0,a3a7af11-a135-11e9-9cda-0a87ae2ba916,4,11,1,0.0,0,01/11/2024 10:09 AM,11,0,0
1,1,1,0.0,5,a3aa4f80-a135-11e9-9cda-0a87ae2ba916,0,14,1,0.0,0,01/11/2024 10:09 AM,9,5,0
1,1,1,0.0,1,a3a42a93-a135-11e9-9cda-0a87ae2ba916,14,6,1,1.0,0,01/11/2024 10:09 AM,5,1,1
0,1,1,0.0,3,a3ad5c90-a135-11e9-9cda-0a87ae2ba916,3,12,1,0.0,0,01/11/2024 10:09 AM,9,3,0
2,1,1,0.0,3,a3aa59bb-a135-11e9-9cda-0a87ae2ba916,3,6,1,0.0,0,01/11/2024 10:09 AM,3,3,0
0,1,1,0.0,1,a3b241df-a135-11e9-9cda-0a87ae2ba916,3,4,1,0.0,0,01/11/2024 10:09 AM,3,1,0
1,1,1,0.0,1,a3b29a90-a135-11e9-9cda-0a87ae2ba916,9,1,1,0.0,0,01/11/2024 10:09 AM,0,1,0
0,1,1,0.0,0,a3adbedf-a135-11e9-9cda-0a87ae2ba916,8,3,1,0.0,0,01/11/2024 10:09 AM,3,0,0
2,1,1,0.0,9,b43a9764-2b1d-4fa0-a13f-7e05eddc7fcd,4,17,1,0.0,0,01/11/2024 10:09 AM,8,9,0
0,1,1,0.0,0,a3ad8587-a135-11e9-9cda-0a87ae2ba916,8,19,1,0.0,0,01/11/2024 10:09 AM,19,0,0
0,1,1,0.0,0,1861613253877461614,8,7,1,0.0,0,01/11/2024 10:09 AM,7,0,0
0,1,1,0.0,3,a3b300d3-a135-11e9-9cda-0a87ae2ba916,4,11,1,0.0,0,01/11/2024 10:09 AM,8,3,0
0,1,1,0.0,4,a3a7d279-a135-11e9-9cda-0a87ae2ba916,4,7,1,0.0,0,01/11/2024 10:09 AM,3,4,0
2,1,1,0.0,7,a3aff616-a135-11e9-9cda-0a87ae2ba916,1,12,1,0.0,0,01/11/2024 10:09 AM,5,7,0
0,1,1,0.0,4,a3ab8bee-a135-11e9-9cda-0a87ae2ba916,7,8,1,0.0,0,01/11/2024 10:09 AM,4,4,0
0,1,1,0.0,1,a3a434ce-a135-11e9-9cda-0a87ae2ba916,6,13,1,0.0,0,01/11/2024 10:09 AM,12,1,0
0,1,1,0.0,0,a3b2b92c-a135-11e9-9cda-0a87ae2ba916,1,10,1,0.0,0,01/11/2024 10:09 AM,10,0,0
0,1,1,0.0,1,a3b0bd42-a135-11e9-9cda-0a87ae2ba916,12,3,1,0.0,0,01/11/2024 10:09 AM,2,1,0
2,1,1,0.0,5,a3a6e359-a135-11e9-9cda-0a87ae2ba916,3,8,1,0.0,0,01/11/2024 10:09 AM,3,5,0
1,1,1,0.0,0,a3a4f993-a135-11e9-9cda-0a87ae2ba916,9,9,1,0.0,0,01/11/2024 10:09 AM,9,0,0
0,1,1,0.0,1,1850867138125484782,0,11,1,0.0,0,01/11/2024 10:09 AM,10,1,0
1,1,1,0.0,1,a3ad2843-a135-11e9-9cda-0a87ae2ba916,9,9,1,0.0,0,01/11/2024 10:09 AM,8,1,0
0,1,1,0.0,0,a3b45e26-a135-11e9-9cda-0a87ae2ba916,2,9,1,0.0,0,01/11/2024 10:09 AM,9,0,0
2,1,1,0.0,0,a77136ee-060b-433b-88d0-ec74af1ef7ad,5,8,1,0.0,0,01/11/2024 10:09 AM,8,0,0
1,1,1,0.0,0,8fd03909-317e-4b6c-b8e9-f4c28b4c90b1,8,6,1,0.0,0,01/11/2024 10:09 AM,6,0,0
0,1,1,0.0,3,a3ab812d-a135-11e9-9cda-0a87ae2ba916,22,16,1,0.0,0,01/11/2024 10:09 AM,13,3,0
4,1,1,0.0,3,a3a46e71-a135-11e9-9cda-0a87ae2ba916,4,25,1,2.0,0,01/11/2024 10:09 AM,22,3,2
0,1,1,0.0,0,a3b2e20c-a135-11e9-9cda-0a87ae2ba916,3,12,1,0.0,0,01/11/2024 10:10 AM,12,0,0
0,1,1,0.0,0,22afe78c-e8f7-4a80-969e-7ddeafdf49da,13,2,1,0.0,0,01/11/2024 10:10 AM,2,0,0
1,1,1,0.0,0,a3b1ff34-a135-11e9-9cda-0a87ae2ba916,1,9,1,0.0,0,01/11/2024 10:10 AM,9,0,0
0,1,1,0.0,2,a3a7cd56-a135-11e9-9cda-0a87ae2ba916,3,9,1,3.0,0,01/11/2024 10:10 AM,7,2,3
1,1,1,0.0,2,a3b310ac-a135-11e9-9cda-0a87ae2ba916,0,14,1,0.0,0,01/11/2024 10:10 AM,12,2,0
0,1,1,0.0,1,a3b3686c-a135-11e9-9cda-0a87ae2ba916,7,8,1,0.0,0,01/11/2024 10:10 AM,7,1,0
1,1,1,0.0,2,1859717449875884116,9,5,1,0.0,0,01/11/2024 10:10 AM,3,2,0
1,1,1,0.0,3,a3b26084-a135-11e9-9cda-0a87ae2ba916,6,4,1,0.0,0,01/11/2024 10:10 AM,1,3,0
0,1,1,0.0,1,a3b30b06-a135-11e9-9cda-0a87ae2ba916,1,14,1,0.0,0,01/11/2024 10:10 AM,13,1,0
1,1,1,0.0,0,391d5cd8-c87c-42f8-94df-823f94284005,5,9,1,0.0,0,01/11/2024 10:10 AM,9,0,0
0,1,1,0.0,4,a3af956e-a135-11e9-9cda-0a87ae2ba916,4,11,1,0.0,0,01/11/2024 10:10 AM,7,4,0
1,1,1,0.0,10,a3a3bc53-a135-11e9-9cda-0a87ae2ba916,0,14,1,0.0,0,01/11/2024 10:10 AM,4,10,0
1,1,1,0.0,3,a3add889-a135-11e9-9cda-0a87ae2ba916,2,8,1,0.0,0,01/11/2024 10:10 AM,5,3,0
0,1,1,0.0,0,a3b2810e-a135-11e9-9cda-0a87ae2ba916,6,5,1,0.0,0,01/11/2024 10:10 AM,5,0,0
0,1,1,0.0,0,a3b1efd6-a135-11e9-9cda-0a87ae2ba916,9,2,1,0.0,0,01/11/2024 10:10 AM,2,0,0
0,1,1,0.0,0,7e435d2a-617e-4c3f-bed0-a8801c20f265,2,13,1,0.0,0,01/11/2024 10:10 AM,13,0,0
2,1,1,0.0,0,a3a6fcac-a135-11e9-9cda-0a87ae2ba916,5,15,1,0.0,1,01/11/2024 10:10 AM,15,0,0
