num_ebikes_available,num_docks_disabled,is_installed,num_bikes_disabled,is_returning,station_id,num_docks_available,num_scooters_unavailable,num_scooters_available,is_renting,num_bikes_available,timestamp,n_classic,n_electric,n_scooters
9,0,1,0,1,a3addda0-a135-11e9-9cda-0a87ae2ba916,1,0.0,0.0,1,10,06/20/2024 10:09 PM,1,9,0
3,0,1,3,1,a3ab86b6-a135-11e9-9cda-0a87ae2ba916,14,0.0,0.0,1,4,06/20/2024 10:09 PM,1,3,0
9,0,1,1,1,a3aa0bb7-a135-11e9-9cda-0a87ae2ba916,4,0.0,1.0,1,9,06/20/2024 10:09 PM,0,9,0
4,0,1,4,1,a3a9b1d7-a135-11e9-9cda-0a87ae2ba916,0,0.0,0.0,1,11,06/20/2024 10:09 PM,7,4,0
0,0,1,1,1,a3ad7636-a135-11e9-9cda-0a87ae2ba916,6,0.0,0.0,1,4,06/20/2024 10:09 PM,4,0,0
12,0,1,3,1,a3af52bc-a135-11e9-9cda-0a87ae2ba916,1,0.0,0.0,1,19,06/20/2024 10:09 PM,7,12,0
0,0,1,3,1,1929538112769137066,10,0.0,0.0,1,2,06/20/2024 10:09 PM,2,0,0
2,0,1,3,1,a3aa8ca0-a135-11e9-9cda-0a87ae2ba916,3,0.0,2.0,1,7,06/20/2024 10:09 PM,5,2,0
1,0,1,2,1,a3a3a282-a135-11e9-9cda-0a87ae2ba916,5,0.0,2.0,1,26,06/20/2024 10:09 PM,25,1,0
3,0,1,2,1,a3b0fae6-a135-11e9-9cda-0a87ae2ba916,1,0.0,2.0,1,10,06/20/2024 10:09 PM,7,3,0
2,0,1,1,1,a3acb1de-a135-11e9-9cda-0a87ae2ba916,2,0.0,0.0,1,8,06/20/2024 10:09 PM,6,2,0
0,0,1,1,1,1934289130932983934,8,0.0,0.0,1,6,06/20/2024 10:09 PM,6,0,0
3,0,1,0,1,a3a80512-a135-11e9-9cda-0a87ae2ba916,2,0.0,3.0,1,14,06/20/2024 10:09 PM,11,3,3
0,0,1,0,1,1850868044363584392,10,0.0,0.0,1,5,06/20/2024 10:09 PM,5,0,0
0,0,1,0,1,1958859639339458778,13,0.0,0.0,1,2,06/20/2024 10:09 PM,2,0,0
0,0,1,2,1,1890605196211329420,3,0.0,0.0,1,10,06/20/2024 10:09 PM,10,0,0
