num_bikes_disabled,is_installed,num_bikes_available,num_ebikes_available,num_docks_disabled,num_docks_available,is_returning,is_renting,station_id,num_scooters_unavailable,num_scooters_available,timestamp,n_classic,n_electric,n_scooters
0,1,4,0,0,7,1,1,a3a96aca-a135-11e9-9cda-0a87ae2ba916,0.0,0.0,06/30/2024 06:09 PM,4,0,0
2,1,9,3,0,0,1,1,a3b222fc-a135-11e9-9cda-0a87ae2ba916,0.0,0.0,06/30/2024 06:09 PM,6,3,0
0,1,9,0,0,2,1,1,a3b2905a-a135-11e9-9cda-0a87ae2ba916,0.0,0.0,06/30/2024 06:09 PM,9,0,0
3,1,2,1,0,10,1,1,1879436840905128284,0.0,0.0,06/30/2024 06:09 PM,1,1,0
1,1,3,2,0,13,1,1,a3a62566-a135-11e9-9cda-0a87ae2ba916,1.0,0.0,06/30/2024 06:09 PM,1,2,0
1,1,11,2,0,7,1,1,a3a80512-a135-11e9-9cda-0a87ae2ba916,0.0,2.0,06/30/2024 06:09 PM,9,1,2
1,1,5,0,0,5,1,1,a3b2862e-a135-11e9-9cda-0a87ae2ba916,0.0,0.0,06/30/2024 06:09 PM,5,0,0
4,1,9,4,0,2,1,1,1882466626513795782,0.0,0.0,06/30/2024 06:09 PM,5,4,0
0,1,9,9,0,6,1,1,1955905507044284968,0.0,0.0,06/30/2024 06:09 PM,0,9,0
3,1,3,1,0,5,1,1,a3b2d7d9-a135-11e9-9cda-0a87ae2ba916,0.0,0.0,06/30/2024 06:09 PM,2,1,0
4,1,3,1,0,8,1,1,a3ac3b03-a135-11e9-9cda-0a87ae2ba916,0.0,0.0,06/30/2024 06:09 PM,2,1,0
6,1,11,2,0,4,1,1,a3a8855c-a135-11e9-9cda-0a87ae2ba916,1.0,0.0,06/30/2024 06:09 PM,9,2,0
1,1,2,2,0,10,1,1,a3a965b2-a135-11e9-9cda-0a87ae2ba916,0.0,2.0,06/30/2024 06:09 PM,0,2,2
1,1,3,3,0,10,1,1,a3b01a86-a135-11e9-9cda-0a87ae2ba916,0.0,1.0,06/30/2024 06:09 PM,0,3,0
3,1,12,3,0,0,1,1,a21de1a5-f5bc-4b50-8a13-aa28b7dcfa95,0.0,0.0,06/30/2024 06:09 PM,9,3,0
2,1,4,0,0,9,1,1,1931696364106218226,0.0,0.0,06/30/2024 06:09 PM,4,0,0
1,1,7,2,0,3,1,1,a3a5f5e6-a135-11e9-9cda-0a87ae2ba916,0.0,0.0,06/30/2024 06:09 PM,5,2,0
0,1,10,0,0,3,1,1,a3a854bf-a135-11e9-9cda-0a87ae2ba916,0.0,2.0,06/30/2024 06:09 PM,10,0,2
0,1,5,2,0,11,1,1,a3a859c4-a135-11e9-9cda-0a87ae2ba916,0.0,2.0,06/30/2024 06:09 PM,4,2,2
0,1,1,1,0,10,1,1,1963359453732131538,0.0,0.0,06/30/2024 06:09 PM,0,1,0
4,1,6,1,0,1,1,1,a3a528d0-a135-11e9-9cda-0a87ae2ba916,0.0,0.0,06/30/2024 06:09 PM,5,1,0
1,1,8,1,0,6,1,1,ff21c158-de98-46c6-9ef7-7082bdb7c634,0.0,0.0,06/30/2024 06:09 PM,7,1,0
6,1,7,0,0,2,1,1,1938034236347042306,0.0,0.0,06/30/2024 06:09 PM,7,0,0
1,1,8,0,0,6,1,1,a3a5de24-a135-11e9-9cda-0a87ae2ba916,0.0,0.0,06/30/2024 06:09 PM,8,0,0
3,1,5,1,0,3,1,1,a3ad2d57-a135-11e9-9cda-0a87ae2ba916,0.0,0.0,06/30/2024 06:09 PM,4,1,0
1,1,8,1,0,4,1,1,a3a5d3bb-a135-11e9-9cda-0a87ae2ba916,0.0,2.0,06/30/2024 06:09 PM,7,1,2
2,1,7,1,0,15,1,1,a3a99d47-a135-11e9-9cda-0a87ae2ba916,0.0,0.0,06/30/2024 06:09 PM,6,0,0
1,1,5,2,0,10,1,1,a3b3915a-a135-11e9-9cda-0a87ae2ba916,0.0,3.0,06/30/2024 06:09 PM,3,2,3
1,1,11,2,0,11,1,1,a3a75885-a135-11e9-9cda-0a87ae2ba916,0.0,0.0,06/30/2024 06:09 PM,9,2,0
2,1,9,2,1,4,1,1,94788869-1849-43f6-99e1-2eacbc3fab03,2.0,1.0,06/30/2024 06:09 PM,7,2,0
6,1,3,0,0,6,1,1,a3a62fc9-a135-11e9-9cda-0a87ae2ba916,0.0,0.0,06/30/2024 06:10 PM,3,0,0
1,1,6,1,0,3,1,1,a3a72012-a135-11e9-9cda-0a87ae2ba916,1.0,0.0,06/30/2024 06:10 PM,5,1,0
0,1,5,2,0,9,1,1,1936553212713581016,0.0,1.0,06/30/2024 06:10 PM,3,2,0
0,1,5,0,0,10,1,1,1943245395846580390,0.0,0.0,06/30/2024 06:10 PM,5,0,0
1,1,10,2,0,4,1,1,732c9f35-0c82-4128-acc3-2cf447298b1d,0.0,0.0,06/30/2024 06:09 PM,8,2,0
6,1,5,1,0,6,1,1,a3a8804b-a135-11e9-9cda-0a87ae2ba916,0.0,0.0,06/30/2024 06:09 PM,4,1,0
4,1,1,0,0,10,1,1,a3a3f0c6-a135-11e9-9cda-0a87ae2ba916,0.0,0.0,06/30/2024 06:09 PM,1,0,0
0,1,2,2,0,13,1,1,1961472602929588766,0.0,0.0,06/30/2024 06:09 PM,0,2,0
1,1,8,2,0,6,1,1,a3aa0bb7-a135-11e9-9cda-0a87ae2ba916,0.0,0.0,06/30/2024 06:10 PM,6,2,0
0,1,9,1,0,2,1,1,a3b2d2b7-a135-11e9-9cda-0a87ae2ba916,0.0,0.0,06/30/2024 06:09 PM,8,1,0
3,1,9,0,0,3,1,1,1934290380966283526,0.0,0.0,06/30/2024 06:09 PM,9,0,0
2,1,11,2,0,8,1,1,a3a48d5c-a135-11e9-9cda-0a87ae2ba916,0.0,2.0,06/30/2024 06:09 PM,9,2,2
4,1,8,1,0,1,1,1,a3a9b1d7-a135-11e9-9cda-0a87ae2ba916,0.0,2.0,06/30/2024 06:09 PM,7,1,2
3,1,6,1,0,10,1,1,a3a5a9d0-a135-11e9-9cda-0a87ae2ba916,0.0,0.0,06/30/2024 06:09 PM,5,1,0
2,1,4,2,0,9,1,1,a3b481e1-a135-11e9-9cda-0a87ae2ba916,0.0,0.0,06/30/2024 06:09 PM,2,2,0
2,1,5,0,0,8,1,1,e63300bd-4ca3-4255-adfd-522289d68b8a,0.0,0.0,06/30/2024 06:09 PM,5,0,0
2,1,4,1,0,12,1,1,a3b48c07-a135-11e9-9cda-0a87ae2ba916,0.0,1.0,06/30/2024 06:10 PM,3,1,0
3,1,3,2,0,8,1,1,1934289944388426278,0.0,1.0,06/30/2024 06:10 PM,1,2,0
4,1,9,1,0,2,1,1,1933998036428004326,0.0,0.0,06/30/2024 06:10 PM,8,1,0
1,1,9,3,0,16,1,1,a3a79adb-a135-11e9-9cda-0a87ae2ba916,0.0,0.0,06/30/2024 06:10 PM,6,4,0
0,1,10,3,0,1,1,1,a3b13e66-a135-11e9-9cda-0a87ae2ba916,0.0,0.0,06/30/2024 06:10 PM,7,3,0
0,1,11,1,0,3,1,1,a3a9f76a-a135-11e9-9cda-0a87ae2ba916,0.0,1.0,06/30/2024 06:10 PM,10,1,0
0,1,9,4,0,5,1,1,a3b419d9-a135-11e9-9cda-0a87ae2ba916,0.0,1.0,06/30/2024 06:10 PM,5,4,1
0,1,7,0,1,7,1,1,1934289130932983934,0.0,0.0,06/30/2024 06:10 PM,7,0,0
2,1,11,0,0,16,1,1,a3a3e67b-a135-11e9-9cda-0a87ae2ba916,1.0,1.0,06/30/2024 06:10 PM,10,0,1
1,1,9,1,0,2,1,1,a3ac7e9a-a135-11e9-9cda-0a87ae2ba916,0.0,3.0,06/30/2024 06:10 PM,8,1,3
1,1,12,2,0,2,1,1,1945195957167804800,0.0,0.0,06/30/2024 06:10 PM,10,2,0
1,1,6,3,0,8,1,1,a3a547b8-a135-11e9-9cda-0a87ae2ba916,0.0,0.0,06/30/2024 06:10 PM,3,3,0
2,1,7,0,0,6,1,1,a3afbe2e-a135-11e9-9cda-0a87ae2ba916,0.0,0.0,06/30/2024 06:10 PM,7,0,0
0,1,6,5,0,8,1,1,a3b3634c-a135-11e9-9cda-0a87ae2ba916,0.0,1.0,06/30/2024 06:10 PM,1,5,1
2,1,5,0,0,3,1,1,a3ad13e4-a135-11e9-9cda-0a87ae2ba916,0.0,1.0,06/30/2024 06:10 PM,5,0,1
2,1,13,3,0,0,1,1,a3af2737-a135-11e9-9cda-0a87ae2ba916,0.0,0.0,06/30/2024 06:10 PM,10,3,0
1,1,4,1,0,6,1,1,a3b1c47b-a135-11e9-9cda-0a87ae2ba916,0.0,0.0,06/30/2024 06:10 PM,3,1,0
0,1,1,1,0,14,1,1,1963673207600511026,0.0,0.0,06/30/2024 06:10 PM,0,1,0
1,1,3,0,0,0,1,1,1866477298337982542,0.0,0.0,06/30/2024 05:57 PM,3,0,0
