num_bikes_disabled,is_renting,num_docks_disabled,num_ebikes_available,is_returning,station_id,num_bikes_available,num_docks_available,is_installed,num_scooters_available,num_scooters_unavailable,timestamp,n_classic,n_electric,n_scooters
2,1,0,3,1,a3a8855c-a135-11e9-9cda-0a87ae2ba916,11,10,1,1.0,0.0,07/05/2024 02:08 AM,8,3,0
1,1,0,2,1,a3b23785-a135-11e9-9cda-0a87ae2ba916,5,6,1,0.0,0.0,07/05/2024 02:08 AM,3,1,0
0,1,0,2,1,a3aa8ca0-a135-11e9-9cda-0a87ae2ba916,3,12,1,0.0,0.0,07/05/2024 02:08 AM,1,2,0
1,1,0,1,1,a3a3b202-a135-11e9-9cda-0a87ae2ba916,10,3,1,1.0,0.0,07/05/2024 02:08 AM,9,1,1
0,1,0,0,1,a3ac7444-a135-11e9-9cda-0a87ae2ba916,8,7,1,0.0,0.0,07/05/2024 02:08 AM,8,0,0
0,1,0,1,1,a3a48d5c-a135-11e9-9cda-0a87ae2ba916,17,6,1,0.0,0.0,07/05/2024 02:08 AM,16,1,0
0,1,0,1,1,a3a6c38e-a135-11e9-9cda-0a87ae2ba916,15,3,1,0.0,1.0,07/05/2024 02:08 AM,14,1,0
0,1,0,0,1,1963671811736140038,0,15,1,,,07/05/2024 02:09 AM,0,0,0
0,1,0,5,1,a3b2be3a-a135-11e9-9cda-0a87ae2ba916,9,2,1,0.0,0.0,07/05/2024 02:09 AM,4,5,0
0,1,0,2,1,1934289361049585738,6,7,1,2.0,0.0,07/05/2024 02:09 AM,4,2,0
0,1,0,2,1,a3b11480-a135-11e9-9cda-0a87ae2ba916,6,5,1,0.0,0.0,07/05/2024 02:08 AM,4,2,0
0,1,0,2,1,a3a72012-a135-11e9-9cda-0a87ae2ba916,4,4,1,2.0,1.0,07/05/2024 02:08 AM,2,2,2
0,1,0,1,1,a3b10a40-a135-11e9-9cda-0a87ae2ba916,3,8,1,0.0,0.0,07/05/2024 02:08 AM,2,1,0
3,1,0,3,1,1929883678185797908,4,7,1,1.0,0.0,07/05/2024 02:08 AM,1,3,0
0,1,0,1,1,a3aa0bb7-a135-11e9-9cda-0a87ae2ba916,5,10,1,0.0,0.0,07/05/2024 02:08 AM,4,1,0
1,1,0,2,1,1934288718318207280,13,1,1,0.0,0.0,07/05/2024 02:08 AM,11,2,0
2,1,0,1,1,1931696364106218226,5,8,1,0.0,0.0,07/05/2024 02:08 AM,4,1,0
2,1,0,0,1,a3a965b2-a135-11e9-9cda-0a87ae2ba916,0,4,1,9.0,0.0,07/05/2024 02:08 AM,0,0,9
0,1,0,0,1,1943244109954931024,7,5,1,3.0,0.0,07/05/2024 02:08 AM,7,0,0
0,1,0,1,1,a3b3634c-a135-11e9-9cda-0a87ae2ba916,2,13,1,0.0,0.0,07/05/2024 02:09 AM,1,1,0
1,1,0,0,1,1929538112769137066,11,3,1,0.0,0.0,07/05/2024 02:09 AM,11,0,0
1,1,0,6,1,1942118582722085548,9,5,1,0.0,0.0,07/05/2024 02:09 AM,3,6,0
1,1,0,0,1,a3b47cbc-a135-11e9-9cda-0a87ae2ba916,2,6,1,6.0,0.0,07/05/2024 02:09 AM,2,0,6
0,1,0,1,1,a3b477ac-a135-11e9-9cda-0a87ae2ba916,11,4,1,0.0,0.0,07/05/2024 02:09 AM,10,1,0
0,1,0,1,1,f0f9f5dc-3d3f-4a32-aa3e-b87566e44de9,3,12,1,0.0,0.0,07/05/2024 02:09 AM,2,1,0
1,1,0,7,1,a3afd7ab-a135-11e9-9cda-0a87ae2ba916,12,2,1,1.0,0.0,07/05/2024 02:09 AM,5,7,0
0,1,0,0,1,a3ae87fa-a135-11e9-9cda-0a87ae2ba916,0,23,1,,,07/05/2024 02:09 AM,0,0,0
2,1,0,1,1,a3ad7636-a135-11e9-9cda-0a87ae2ba916,9,0,1,0.0,0.0,07/05/2024 02:09 AM,8,1,0
0,1,0,4,1,1961472602929588766,8,7,1,0.0,0.0,07/05/2024 02:09 AM,4,4,0
0,1,0,10,1,a3addda0-a135-11e9-9cda-0a87ae2ba916,11,0,1,0.0,0.0,07/05/2024 02:09 AM,1,10,0
0,1,0,3,1,a3ac9d43-a135-11e9-9cda-0a87ae2ba916,14,8,1,1.0,0.0,07/05/2024 02:09 AM,11,3,0
1,1,0,0,1,1934289130932983934,6,8,1,0.0,0.0,07/05/2024 02:09 AM,6,0,0
1,1,0,0,1,a3b1fa1c-a135-11e9-9cda-0a87ae2ba916,9,1,1,0.0,0.0,07/05/2024 02:09 AM,9,0,0
1,1,0,1,1,1866477298337982542,1,2,1,0.0,0.0,07/05/2024 02:04 AM,0,1,0
